Epoch,Total_Loss,PDE_Loss,IC_Loss,BC_Loss,L2_Error,PDE_Weight,IC_Weight,IC_V_Weight,BC_Weight
580,6.2742138672e+02,9.9683802879e-11,8.3174576438e-14,3.8674480827e-13,5.5845897419e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
600,6.2466546631e+02,9.8153846162e-11,8.4461327906e-14,3.8674201645e-13,5.5724003712e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
620,6.2211431885e+02,1.0062943534e-10,8.3943126701e-14,3.8674101356e-13,5.5610900714e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
640,6.1974530029e+02,9.5834361280e-11,8.3775204113e-14,3.8673843858e-13,5.5505714181e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
660,6.1753741455e+02,9.7632568696e-11,8.2472914674e-14,3.8673711043e-13,5.5407759225e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
680,6.1547601318e+02,1.0304403164e-10,8.4838799668e-14,3.8673483361e-13,5.5315863960e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
700,6.1354748535e+02,9.9925158425e-11,8.1772364216e-14,3.8673345125e-13,5.5229916758e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
720,6.1173712158e+02,9.9057338721e-11,8.2632787060e-14,3.8673171653e-13,5.5148739814e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
740,6.1003607178e+02,9.8450504693e-11,8.4856844858e-14,3.8673033417e-13,5.5072804080e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
760,6.0843334961e+02,1.0005871826e-10,8.3630876475e-14,3.8672957523e-13,5.5000844893e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
780,6.0692236328e+02,9.8798337567e-11,8.5687289512e-14,3.8672805735e-13,5.4933066671e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
800,6.0549365234e+02,9.6863843335e-11,8.1940008977e-14,3.8672681051e-13,5.4869050184e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
820,6.0414251709e+02,9.4298277520e-11,8.3915093299e-14,3.8672507579e-13,5.4808177878e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
840,6.0286151123e+02,9.6095978397e-11,8.5053071899e-14,3.8672653946e-13,5.4750411833e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
860,6.0164556885e+02,9.6912908254e-11,8.1851192490e-14,3.8672388317e-13,5.4695930434e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
880,6.0049005127e+02,1.0050345972e-10,8.1949997190e-14,3.8672325975e-13,5.4643819866e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
900,5.9938543701e+02,9.8467463350e-11,9.2273966788e-14,3.8671998004e-13,5.4593880069e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
920,5.9832830811e+02,9.9348605731e-11,8.6776418028e-14,3.8672063056e-13,5.4546047291e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
940,5.9732147217e+02,9.9656699559e-11,8.6748662453e-14,3.8672060346e-13,5.4500367251e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
960,5.9636346436e+02,9.9115209096e-11,8.6717295129e-14,3.8672025109e-13,5.4456913080e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
980,5.9544879150e+02,9.9444556756e-11,8.5136616452e-14,3.8671905847e-13,5.4415605406e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1000,5.9457012939e+02,9.7894366224e-11,8.4732493645e-14,3.8671857058e-13,5.4375862111e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1020,5.9373376465e+02,9.7345354000e-11,8.4851288322e-14,3.8671827242e-13,5.4337661182e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1040,5.9293341064e+02,9.9118935282e-11,8.6527729155e-14,3.8671675454e-13,5.4301406947e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1060,5.9216723633e+02,1.0264943756e-10,8.3276715059e-14,3.8671729664e-13,5.4266733831e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1080,5.9143286133e+02,1.0191476829e-10,8.3413554926e-14,3.8671675454e-13,5.4233168926e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1100,5.9072546387e+02,1.0008890938e-10,8.5211832978e-14,3.8671380009e-13,5.4201301069e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1120,5.9006347656e+02,9.8235808377e-11,8.4862116791e-14,3.8671515534e-13,5.4171320447e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1140,5.8991973877e+02,9.3206449503e-11,8.9432903086e-14,3.8671119800e-13,5.4171943705e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1160,5.9489404297e+02,1.0108316961e-10,8.2074348403e-14,3.8672773209e-13,5.4465103576e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1180,6.2778570557e+02,9.5550033163e-11,8.5604022785e-14,3.8673114732e-13,5.6293383137e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1200,1.2447402191e+02,8.9978580142e-11,8.4369177497e-14,3.8684092279e-13,4.8303207563e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1220,3.4501303711e+03,1.2338464972e-10,3.7071591456e-12,3.9395795111e-13,9.8463920795e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1240,3.4437675781e+04,5.0489057379e-10,7.3375812093e-09,4.7221466104e-13,5.2576796481e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1260,2.5363123047e+04,3.7192812719e-10,3.8131540236e-07,4.4924272093e-13,1.4815604239e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1280,5.8094765625e+03,1.5767806505e-10,7.4895109492e-07,3.9849029567e-13,3.9087939521e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1300,2.0939171875e+04,3.1298308389e-10,3.2812647532e-06,4.2829902494e-13,5.0016790141e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1320,4.0393571777e+03,1.3880548100e-10,3.4762305745e-07,3.8985351405e-13,1.4930196942e-02,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1340,2.8712868652e+03,1.0596062916e-10,3.3830531265e-08,3.8989162376e-13,3.4949297731e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1360,3.8370424805e+03,1.3215366301e-10,1.0611794465e-07,3.9480389986e-13,1.1341146601e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1380,1.3122259521e+03,1.1151918972e-10,4.8763357796e-08,3.8791542136e-13,1.4269709575e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1400,7.7186700439e+02,1.3447824798e-10,9.1238337063e-07,3.9053862141e-13,1.0067505147e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1420,3.0041884766e+03,1.5177192836e-10,5.6076282817e-07,3.9621376926e-13,1.9902412454e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1440,1.3708592529e+03,1.2297145247e-10,2.8861322221e-07,3.8919656885e-13,1.8893770378e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1460,7.7489239502e+02,2.8475299896e-10,4.0029240154e-06,4.0468949264e-13,1.3771214059e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1480,2.9870419922e+03,1.5533554998e-10,6.1676598762e-07,3.9646497890e-13,2.6098428609e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1500,1.3642774658e+03,1.2371706437e-10,3.7972887412e-07,3.8968454115e-13,1.4397252287e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1520,7.7079992676e+02,1.1401159183e-10,3.5811865473e-07,3.8816535706e-13,1.0273473671e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1540,2.9732707520e+03,1.2679414463e-10,1.2402850302e-08,3.9309294752e-13,8.1415777268e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1560,2.9950939941e+02,1.3437455315e-10,7.8678101545e-07,3.9090283202e-13,2.0836928076e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1580,1.2116368103e+02,9.8358554634e-10,2.2981190341e-05,4.9346177101e-13,6.6609979303e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1600,2.1700451660e+03,2.2992348303e-10,2.5905185339e-06,4.0493538969e-13,3.3282077793e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1620,2.9802304077e+02,9.6573735120e-11,3.8297162064e-06,3.8676611284e-13,1.5758209480e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1640,1.5644688416e+02,9.7774177643e-11,1.7410303599e-06,3.8679855759e-13,5.0414862016e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1660,1.5879713135e+03,1.0343205459e-10,3.7790887291e-05,3.9017861208e-13,1.7890292826e-02,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1680,1.9651290283e+03,1.0859221161e-10,4.1826856432e-06,3.8738139758e-13,6.4422891118e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1700,1.1147013092e+02,1.0801993328e-10,5.4582738812e-05,3.8714051496e-13,1.1307839968e-02,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1720,3.2753413086e+03,1.0365838049e-10,4.7776680731e-05,3.8974850907e-13,9.5229021524e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1740,2.9427285156e+03,1.9324070122e-10,1.3349631445e-05,4.0867203827e-13,5.6784152916e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1760,3.4550249023e+03,3.5705005619e-10,1.9640086180e-07,3.8790821141e-13,4.1593347491e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1780,5.1421185303e+02,1.7052753654e-09,9.1927233825e-07,3.8906987983e-13,3.2754731039e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1800,5.7309291992e+03,1.0330810255e-05,1.5381287085e-04,9.5603342951e-13,3.5410463275e-02,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1820,9.7947253418e+02,8.2127289716e-06,7.6402648119e-05,2.5523161362e-10,1.1456725393e-02,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1840,1.0618879395e+03,2.8068873448e-08,2.2728427211e-06,1.8440823955e-12,7.0560752825e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1860,5.3009649658e+02,6.5229369284e-07,5.7405713960e-08,3.7760319177e-11,2.1901183373e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1880,7.0963421631e+02,4.8497733607e-10,5.0522057649e-08,4.0464292615e-13,1.2551765716e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1900,6.1086865234e+02,4.1674563800e-10,2.9882313290e-10,4.1172089609e-13,1.2373682398e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1920,5.9527801514e+02,1.4484761168e-09,6.6226540918e-10,4.7912720883e-13,1.1083994815e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1940,5.7754382324e+02,1.6795079216e-10,5.4344927863e-11,3.9481344084e-13,1.0378311019e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1960,5.4214605713e+02,1.0001959677e-10,1.5661832996e-13,3.8753586928e-13,9.9904723807e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
1980,6.8075737000e+01,8.7302214069e-11,1.0301311019e-11,3.8678419191e-13,9.7233735765e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
2000,6.1716312408e+01,9.8692505557e-11,1.0204965345e-11,3.8875085334e-13,9.5150430310e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
