Metric,Value,Harmonics
Max Error,0.33870212733745575,45
Mean Error,0.07842740622931017,45
Median Error,0.06613817811012268,45
Relative L2 Error,0.20016194853879335,45
50th Percentile,0.06613817811012268,45
75th Percentile,0.11722160130739212,45
90th Percentile,0.16880820095539092,45
95th Percentile,0.20313692195340988,45
99th Percentile,0.2532700003497301,45
99.9th Percentile,0.2984345202893028,45
99.99th Percentile,0.3319021102541989,45
