Metric,Value,Harmonics
Max Error,0.49330247938632965,40
Mean Error,0.18946598026643627,40
Median Error,0.16726405918598175,40
Relative L2 Error,0.47505014938275464,40
50th Percentile,0.16726405918598175,40
75th Percentile,0.30456163734197617,40
90th Percentile,0.41037181988358495,40
95th Percentile,0.44619290940463535,40
99th Percentile,0.4824699171259997,40
99.9th Percentile,0.49240682388655854,40
99.99th Percentile,0.4932366537705063,40
