Metric,Value,Harmonics
Max Error,0.49911123514175415,25
Mean Error,0.19092967389155693,25
Median Error,0.16919073089957237,25
Relative L2 Error,0.4821594358877492,25
50th Percentile,0.16919073089957237,25
75th Percentile,0.3135205302387476,25
90th Percentile,0.41500912383198735,25
95th Percentile,0.4591696538031101,25
99th Percentile,0.4893406679481268,25
99.9th Percentile,0.4989438909590244,25
99.99th Percentile,0.49909311885386703,25
