Metric,Value,Harmonics
Max Error,5.364418029785156e-07,5
Mean Error,2.0706467388222903e-07,5
Median Error,1.7881393432617188e-07,5
Relative L2 Error,5.124989297089989e-07,5
50th Percentile,1.7881393432617188e-07,5
75th Percentile,3.5762786865234375e-07,5
90th Percentile,4.172325134277344e-07,5
95th Percentile,4.76837158203125e-07,5
99th Percentile,4.76837158203125e-07,5
99.9th Percentile,5.364418029785156e-07,5
99.99th Percentile,5.364418029785156e-07,5
