Metric,Value,Harmonics
Max Error,0.4983080327510834,30
Mean Error,0.19803550460480984,30
Median Error,0.17665008455514908,30
Relative L2 Error,0.49184677205025584,30
50th Percentile,0.17665008455514908,30
75th Percentile,0.31817854195833206,30
90th Percentile,0.4209200978279114,30
95th Percentile,0.4602345824241638,30
99th Percentile,0.49058027893304823,30
99.9th Percentile,0.4981777801513672,30
99.99th Percentile,0.4982794637560844,30
