Metric,Value,Harmonics
Max Error,3.5762786865234375e-07,10
Mean Error,7.496997808393857e-08,10
Median Error,5.960464477539063e-08,10
Relative L2 Error,1.943336073048435e-07,10
50th Percentile,5.960464477539063e-08,10
75th Percentile,1.1920928955078125e-07,10
90th Percentile,1.7881393432617188e-07,10
95th Percentile,1.7881393432617188e-07,10
99th Percentile,2.384185791015625e-07,10
99.9th Percentile,3.2788515090943597e-07,10
99.99th Percentile,3.5762786865234375e-07,10
