Metric,Value,Harmonics
Max Error,0.4952584020793438,15
Mean Error,0.16249530978119373,15
Median Error,0.1419508457183838,15
Relative L2 Error,0.4020501719230062,15
50th Percentile,0.1419508457183838,15
75th Percentile,0.2512316554784775,15
90th Percentile,0.34206625223159787,15
95th Percentile,0.38395843030884863,15
99th Percentile,0.43909110397100426,15
99.9th Percentile,0.4814159204438335,15
99.99th Percentile,0.49406557299308357,15
