Metric,Value,Harmonics
Max Error,0.49932026863098145,35
Mean Error,0.19633224918091577,35
Median Error,0.17102059070020914,35
Relative L2 Error,0.4890211691899723,35
50th Percentile,0.17102059070020914,35
75th Percentile,0.3169780299067497,35
90th Percentile,0.42307609915733335,35
95th Percentile,0.4578807599842548,35
99th Percentile,0.4907797168195247,35
99.9th Percentile,0.49910715624690055,35
99.99th Percentile,0.4992937402784824,35
